Code,Designation,Type,Standard_WxDxH_cm,Site_Reference,Product_URL,On_Site
PS178,Small Mercerie Table,Table,110x60x89,PS178,https://studioszel.ro/console/411-569653-consola-cu-picioare-strunjite-1-polita.html,yes
PS178-TOP OAK,Small Mercerie Table oak,Table,110x60x89,PS178-TOP OAK,https://studioszel.ro/console/412-566802-consola-cu-picioare-strunjite-1-polita-blat-stejar.html,yes
PS187,Trunk  120x45x45,Other,120x45x45,E-PS187,https://studioszel.ro/cufar/35210-574245-cufar-120x45x45cm.html,yes
PS188,Small bookcase with shelves,Shelving,102x35x102,E-PS188,https://studioszel.ro/biblioteci-si-vitrine/35061-571175-biblioteca-mica-cu-etajere.html,yes
PS189,"Bedside "" Galbee ",Bed,40x34x70,E-PS189,https://studioszel.ro/console/35104-572100-consola-mica-picioare-curbate-2-sertare.html,yes
PS189-TOP OAK,"Bedside "" Galbee "" oak top",Bed,40x34x70,PS189-TOP OAK,https://studioszel.ro/console/421-571985-consola-mica-picioare-curbate-2-sertare-blat-stejar.html,yes
PS190,Bar Stool,Bar,35x35x82,E-PS190,https://studioszel.ro/scaun-bar/35259-575101-scaun-bar.html,yes
PS190-TOP OAK,Stools bars oak seat,Stool,35x35x82,E-PS190-TOP OAK,https://studioszel.ro/scaun-bar/35260-575112-scaun-bar-blat-stejar.html,yes
PS195,Bookcase 5 Shelves,Shelving,120x39x197,E-PS195,https://studioszel.ro/home/35019-568782-biblioteca-mare-colectia-directoire.html,yes
PS202,Bedside,Bed,52x32x45,E-PS202,https://studioszel.ro/noptiere/35228-574492-noptiera-cu-1-sertar-si-spatiu-deschis.html,yes
PS211,Medium book-case 2 doors,Other,76x35x102,E-PS211,https://studioszel.ro/biblioteci-si-vitrine/35065-571289-biblioteca-mica-cu-2-usi-1-polita.html,yes
PS212,Large Book-case 2 doors,Other,102x35x102,E-PS212,https://studioszel.ro/biblioteci-si-vitrine/35067-571318-biblioteca-medie-cu-2-usi-1-polita.html,yes
PS212-TOP OAK,"Office bookcase 2 doors, oak top",Other,102x35x102,PS212-TOP OAK,https://studioszel.ro/biblioteci-si-vitrine/3099-562391-biblioteca-medie-cu-2-usi-1-polita-blat-stejar.html,yes
PS218,Back Café Furniture,Other,103x36x210,E-PS218,https://studioszel.ro/dulap-bar/35280-575562-mobila-bar-cu-2-usi.html,yes
PS224-160/220,Table 160/220x90x78,Table,160x90x78,PS224-160/220,https://studioszel.ro/mese-de-dining/314-573257-masa-cu-extensie-160-220x90x78cm.html,yes
PS230,3 Doors Detachable Wardrobe,Wardrobe,212x67x210,E-PS230,https://studioszel.ro/sifoniere/35420-582892-dulap-demontabil-cu-3-usi.html,yes
PS238,Console 1 drawer,Drawers unit,100x45x89,E-PS238,https://studioszel.ro/console/34812-565950-consola-cu-1-sertar.html,yes
PS238-TOP OAK,Console 1 drawer top oak,Drawers unit,100x45x89,PS238-TOP OAK,https://studioszel.ro/console/237-566583-consola-cu-1-sertar-blat-stejar.html,yes
PS239,Commode Galbee with soft-close metal rails,Other,130x57x90,PS239,https://studioszel.ro/comode/2-583312-comoda-galbee.html,yes
PS240,"Kitchen wall furniture, 2doors, 4 drawers wood top",Drawers unit,120x65x90,PS240,https://studioszel.ro/mobilier-de-bucatarie-modular/193-573134-dulap-bucatarie-cu-2-usi-3-sertare.html,yes
PS240-TOP OAK,"Kitchen wall furniture, 2doors, 4 drawers oak top",Drawers unit,120x65x90,PS240-TOP OAK,https://studioszel.ro/mobilier-de-bucatarie-modular/194-566493-dulap-bucatarie-cu-2-usi-3-sertare-blat-stejar.html,yes
PS242,Coat stand with mirror,Mirror,132x19x210,E-PS242,https://studioszel.ro/cuiere/34781-565294-cuier-cu-oglinda-1-sertar.html,yes
PS244,Wardrobe 1 door,Wardrobe,85x58x180,E-PS244,https://studioszel.ro/sifoniere/35110-572354-dulap-cu-1-usa.html,yes
PS245,Wardrobe 2 doors,Wardrobe,110x58x180,E-PS245,https://studioszel.ro/sifoniere/35109-578938-dulap-cu-2-usi.html,yes
PS250,Top shelves 2 doors,Shelving,120x31x65,PS250,https://studioszel.ro/mobilier-de-bucatarie-modular/234-559589-dulap-bucatarie-suspendabil-cu-2-usi.html,yes
PS262,Wine rack 1 drawer 3 open shelves,Drawers unit,78x41x210,E-PS262,https://studioszel.ro/dulap-bar/35281-575589-mobila-bar-cu-suport-sticle.html,yes
PS264BAS/SUP,Bahut 2 doors 2 drawers+ vitrine,Drawers unit,126x45x200,E-PS264BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35323-576357-bufet-cu-2-usi-2-sertare-bas-2-usi-sticla-sup.html,yes
PS264BAS,"Bahut 2 doors 2 drawers ""BAS",Drawers unit,120x45x90,E-PS264BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35322-576338-bufet-cu-2-usi-2-sertare-bas.html,yes
PS264BAS-TOP OAK,Bahut 2 doors 2 drawers BAS  oak top,Drawers unit,120x45x90,PS264BAS-TOP OAK,https://studioszel.ro/bufete-si-vitrine-pentru-servire/2403-566991-bufet-cu-2-usi-2-sertare-blat-stejar-bas.html,yes
PS276,Chest of 7 drawers,Chest of drawers,43x33x150,E-PS276,https://studioszel.ro/comode/35143-572874-comoda-ingusta-cu-7-sertare.html,yes
PS286,Ornamental shelf,Shelving,70x25x16,PS286,https://studioszel.ro/mobilier-de-bucatarie-modular/116-560110-polita-cuier.html,yes
PS288,Ornamental shelf,Shelving,70x25x16,E-PS288,https://studioszel.ro/mobilier-de-bucatarie-modular/34817-565988-polita-mica.html,yes
PS293,Wardrobe 1 door 1drawer,Drawers unit,103x59x200,E-PS293,https://studioszel.ro/sifoniere/35119-572368-dulap-cu-1-usa-si-1-sertar.html,yes
PS356,Sideboard 3+4 drawers,Sideboard,122x41x75,E-PS356,https://studioszel.ro/comode/35122-572446-comoda-cu-7-sertare-colectia-directoire.html,yes
PS361,2 doors wardrobe with mirror,Wardrobe,121x59x197,E-PS361,https://studioszel.ro/sifoniere/35150-580400-dulap-cu-2-usi-3-sertare-si-oglinda.html,yes
PS362,Country Kitchen 1 drawers 2 doors,Drawers unit,67x50x180,E-PS362,https://studioszel.ro/bufete-si-vitrine-pentru-servire/34798-565767-dulap-bucatarie-1-sertar-si-2-usi.html,yes
PS365BAS/SUP,Kitchen cupboard 4 doors,Kitchen,180x50x197,E-PS365BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/34931-566362-bufet-cu-4-usi-4-sertare-bas-2-usi-sticla-4-sertare-spatiu-deschis-sup.html,yes
PS365BAS,Kitchen cupboard 4 doors BAS,Kitchen,176x50x90,E-PS365BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/34822-566060-bufet-cu-4-usi-4-sertare-bas.html,yes
PS365BAS-TOP OAK,Kitchen cupboard 4 doors BAS oak top,Kitchen,175x50x90,PS365BAS-TOP OAK,https://studioszel.ro/bufete-si-vitrine-pentru-servire/1667-570686-bufet-cu-4-usi-4-sertare-blat-stejar-bas.html,yes
PS366,Coat hanger 2 doors,Other,140x41x210,E-PS366,https://studioszel.ro/cuiere/34785-580672-cuier-mare-cu-2-usi.html,yes
PS366-TOP OAK,"Coat hanger 2 doors, oak top",Other,140x41x210,E-PS366-TOP OAK,https://studioszel.ro/cuiere/34786-565523-cuier-cu-2-usi-cu-blat-stejar.html,yes
PS370BAS,Sideboard 2 doors 3 drawers,Sideboard,173x47x93,E-PS370BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35294-575896-bufet-cu-2-usi-3-sertare-bas.html,yes
PS370BAS-TOP OAK,Sideboard 2 doors 3 drawers oak top,Sideboard,173x47x93,E-PS370BAS-TOP OAK,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35295-575911-bufet-cu-2-usi-3-sertare-blat-stejar-bas.html,yes
PS370BAS/PS165SUP,Display cabinet 2 doors on 3 drawers sideboard,Sideboard,179x47x225,PS370BAS+PS165SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/10386-558472-bufet-cu-2-usi-3-sertare-bas-2-usi-sticla-sup.html,yes
PS376,Open display cabinet,Display cabinet,180x39x197,E-PS376,https://studioszel.ro/biblioteci-si-vitrine/35012-568647-biblioteca-tripla-colectia-directoire.html,yes
PS378,Hanging furniture 2 doors +open space,Other,156x31x65,PS378,https://studioszel.ro/mobilier-de-bucatarie-modular/235-577692-dulap-bucatarie-suspendabil-cu-2-usi-spatiu-deschis.html,yes
PS381,Filling cabinet 3 doors,Other,55x40x126,E-PS381,https://studioszel.ro/birou/35063-571203-comoda-cu-3-usi-rabatabile.html,yes
PS385BAS/SUP,Coat hanger in 2 parts BAS+SUP,Other,148x40x106,PS385BAS+SUP,https://studioszel.ro/cuiere/10393-558754-mic-mobilier-hol-cu-spatii-deschise-bas-cuier-sup.html,yes
PS385BAS,Coat hanger BAS,Other,138x40x50,PS385BAS,https://studioszel.ro/dulapuri-pentru-pantofi/42-559130-mic-mobilier-hol-cu-spatii-deschise-bas.html,yes
PS388,Kitchen item 4 drawers Wood Top,Drawers unit,67x65x90,PS388,https://studioszel.ro/mobilier-de-bucatarie-modular/215-582808-mobila-bucatarie-cu-4-sertare.html,yes
PS400,Round coffee table,Table,60x60x78,E-PS400,https://studioszel.ro/console/35099-571937-masa-cafea-rotunda.html,yes
PS400-TOP OAK,Round coffee table oak top,Table,60x60x78,E-PS400-TOP OAK,https://studioszel.ro/console/35101-571950-masa-cafea-rotunda-blat-stejar.html,yes
PS404BAS/SUP,Kitchen display cabinet BAS+SUP,Display cabinet,245x47x225,PS404BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/10392-567441-bufet-cu-4-usi-8-sertare-bas-4-usi-sticla-4-sertare-spatiu-deschis-sup.html,yes
PS404BAS,Kitchen sideboard 4 doors 8 drawers BAS,Sideboard,239x47x93,PS404BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/302-560401-bufet-cu-4-usi-8-sertare-bas.html,yes
PS404BAS-TOP OAK,Kitchen sideboard 4 doors 8 drawers BAS oak top,Sideboard,239x47x93,PS404BAS-TOP OAK,https://studioszel.ro/bufete-si-vitrine-pentru-servire/1520-566918-bufet-bucatarie-4-usi-8-sertare-bas-blat-stejar.html,yes
PS405BAS/SUP,Bookcase 4 doors with ladder BAS+SUP,Other,159x51x244,E-PS405BAS+SUP,https://studioszel.ro/biblioteci-si-vitrine/35037-569030-biblioteca-cu-4-usi-bas-etajera-dubla-sup.html,yes
PS405BAS,Sideboard 4 doors BAS,Sideboard,151x51x84,E-PS405BAS,https://studioszel.ro/biblioteci-si-vitrine/35035-580838-bufet-4-usi-bas.html,yes
PS407,Display cabinet 2 doors,Display cabinet,110x40x210,E-PS407,https://studioszel.ro/biblioteci-si-vitrine/35030-568941-vitrina-cu-2-usi-cu-tija.html,yes
PS408BAS/SUP,Display cabinet 4 doors BAS+SUP,Display cabinet,223x50x228,E-PS408BAS+SUP,https://studioszel.ro/biblioteci-si-vitrine/35407-581028-vitrina-cu-4-usi-cu-tija-bas-4-usi-mari-sticla-cu-tija-sup.html,yes
PS408BAS,Sideboard 4 doors BAS,Sideboard,219x50x78,E-PS408BAS,https://studioszel.ro/biblioteci-si-vitrine/35401-580703-bufet-cu-4-usi-cu-tija-bas.html,yes
PS414,Small flower stand,Other,45x35x89,PS414,https://studioszel.ro/bufete-si-vitrine-pentru-servire/118-569532-raft-mic-cu-2-polite.html,yes
PS415,"Shoe cabinet 3 doors, 2 drawers",Drawers unit,103x35x140,E-PS415,https://studioszel.ro/dulapuri-pentru-pantofi/34778-579521-pantofar-cu-3-usi-si-2-sertare.html,yes
PS415-TOP OAK,"Shoe cabinet 3 doors, 2 drawers oak top",Drawers unit,103x35x140,PS415-TOP OAK,https://studioszel.ro/dulapuri-pentru-pantofi/7175-578516-pantofar-cu-3-usi-si-2-sertare-blat-stejar.html,yes
PS420,Bathroom rack 1 door 1 drawer 2 shelves,Drawers unit,49x39x160,E-PS420,https://studioszel.ro/dulap-baie/35190-573822-dulap-baie-cu-1-usa-1-sertar-2-rafturi.html,yes
PS422,Sideboard 2 doors 1 drawer,Sideboard,85x35x120,E-PS422,https://studioszel.ro/dulapuri-pentru-pantofi/34819-566033-dulap-cu-2-usi-si-1-sertar.html,yes
PS422-TOP OAK,Sideboard 2 doors 1 drawer oak top,Sideboard,85x35x120,E-PS422-TOP OAK,https://studioszel.ro/dulapuri-pentru-pantofi/34932-566446-dulap-cu-2-usi-si-1-sertar-blat-stejar.html,yes
PS425,Display cabinet 3 drawers 1 door,Display cabinet,65x39x197,E-PS425,https://studioszel.ro/biblioteci-si-vitrine/35009-580401-dulap-cu-1-usa-sticla-3-sertare-colectia-directoire.html,yes
PS428,Bedside with ornaments,Bed,50x33x60,E-PS428,https://studioszel.ro/noptiere/35195-574059-noptiera-cu-1-sertar-si-1-polita-colectia-directoire.html,yes
PS429,Coat hanger 3 hooks,Other,65x8x195,PS429,https://studioszel.ro/cuiere/41-577794-cuier-3-agatatoare.html,yes
PS431,Big hallway mirror,Hallway,100x8x100,PS431,https://studioszel.ro/oglinzi/436-572833-oglinda-baie.html,yes
PS432,Hallway sideboard 2 doors 2 drawers,Sideboard,85x35x85,E-PS432,https://studioszel.ro/console/35080-571516-dulap-cu-2-usi-si-2-sertare.html,yes
PS432-TOP OAK,"Hallway sideboard 2 doors 2 drawers, oak top",Sideboard,85x35x85,E-PS432-TOP OAK,https://studioszel.ro/console/35378-579237-dulap-cu-2-usi-si-2-sertare-blat-stejar.html,yes
PS433,Hallway sideboard 3 doors 3 drawers,Sideboard,120x35x85,E-PS433,https://studioszel.ro/console/35081-571542-dulap-cu-3-usi-si-3-sertare.html,yes
PS433-TOP OAK,"Hallway sideboard 3 doors 3 drawers, oak top",Sideboard,120x35x85,E-PS433-TOP OAK,https://studioszel.ro/console/35392-579736-dulap-cu-3-usi-si-3-sertare-blat-stejar.html,yes
PS437,"Livingroom wardrobe 2 doors, open shelves",Shelving,180x39x140,E-PS437,https://studioszel.ro/biblioteci-si-vitrine/35007-568525-biblioteca-cu-2-usi-2-usi-sticla-si-2-sertare-colectia-directoire.html,yes
PS447,Big flower stand,Other,45x35x170,E-PS447,https://studioszel.ro/bufete-si-vitrine-pentru-servire/34818-565998-raft-cu-4-polite.html,yes
PS449,Small mirror frame,Mirror,93x10x111,E-PS449,https://studioszel.ro/oglinzi/35364-578690-oglinda-colectia-directoire.html,yes
PS450,Tall mirror for hallways,Hallway,65x8x195,E-PS450,https://studioszel.ro/oglinzi/34958-567540-oglinda-inalta-hol.html,yes
PS451,Small mirror for hallways,Hallway,65x8x100,PS451,https://studioszel.ro/oglinzi/433-581359-oglinda-mica-baie.html,yes
PS458,Kitchen corner furniture 98x98x90,Kitchen,98x98x90,PS458,https://studioszel.ro/mobilier-de-bucatarie-modular/203-576508-mobila-de-colt-pentru-bucatarie-98x98x90cm.html,yes
PS458-TOP OAK,Kitchen corner furniture 98x98x90 oak top,Kitchen,98x98x90,PS458-TOP OAK,https://studioszel.ro/mobilier-de-bucatarie-modular/204-566512-mobila-de-colt-pentru-bucatarie-98x98x90cm-blat-stejar.html,yes
PS472,Hallway sideboard 2 doors 6 drawers,Sideboard,176x35x105,E-PS472,https://studioszel.ro/dulapuri-pentru-pantofi/34933-567090-comoda-hol-cu-2-2-usi-si-4-sertare.html,yes
PS472-TOP OAK,Hallway sideboard 2 doors 6 drawers oak top,Sideboard,176x35x105,PS472-TOP OAK,https://studioszel.ro/dulapuri-pentru-pantofi/2589-577643-comoda-hol-cu-2-2-usi-4-sertare-blat-stejar.html,yes
PS485,Sideboard with12 multicolored drawers,Sideboard,120x36x97,E-PS485,https://studioszel.ro/comode/35131-572630-comoda-cu-12-sertare-colectia-directoire.html,yes
PS487,Display cabinet 2+2 doors,Display cabinet,130x39x160,E-PS487,https://studioszel.ro/biblioteci-si-vitrine/35006-568514-dulap-cu-2-usi-2-usi-sticla-colectia-directoire.html,yes
PS491,Wardrobe 2+1 door and 3 drawers,Drawers unit,121x59x210,E-PS491,https://studioszel.ro/sifoniere/35148-573241-dulap-cu-3-usi-si-3-sertare-colectia-directoire.html,yes
PS494,Sideboard 2 doors and open shelves,Sideboard,160x46x60,E-PS494,https://studioszel.ro/mese-tv-si-mobilier-media/35017-568732-comoda-2-usi-si-rafturi-deschise.html,yes
PS494-TOP OAK,Sideboard 2 doors and open shelves oak top,Sideboard,160x60x46,PS494-TOP OAK,https://studioszel.ro/mese-tv-si-mobilier-media/2608-567075-comoda-2-usi-si-rafturi-deschise-blat-stejar.html,yes
PS499,Kitchen furniture for square sink,Kitchen,81x65x90,PS499,https://studioszel.ro/mobilier-de-bucatarie-modular/2215-583793-mobila-de-bucatarie-pentru-chiuveta-patrata-chiuveta-nu-este-inclusa-in-pret.html,yes
PS500,Wall hanging kitchen furniture 1 glass door,Kitchen,67x31x65,PS500,https://studioszel.ro/mobilier-de-bucatarie-modular/2216-570716-dulap-bucatarie-suspendabil-cu-1-usa-sticla.html,yes
PS502,High wall hanging kitchen furniture 1 glass door,Kitchen,67x31x100,PS502,https://studioszel.ro/mobilier-de-bucatarie-modular/2218-583435-dulap-bucatarie-suspendabil-cu-1-usa-sticla.html,yes
PS505,Wall hanging kitchen furniture with 4 doors,Kitchen,192x31x65,PS505,https://studioszel.ro/mobilier-de-bucatarie-modular/2268-582769-dulap-bucatarie-suspendabil-cu-4-usi.html,yes
PS511,Kitchen furniture for oven and stove,Kitchen,120x65x90,PS511,https://studioszel.ro/mobilier-de-bucatarie-modular/2275-584074-mobilier-de-bucatarie-pentru-cuptor-si-aragaz.html,yes
PS511-TOP OAK,Kitchen furniture for oven and stove oak top,Kitchen,120x65x90,PS511-TOP OAK,https://studioszel.ro/mobilier-de-bucatarie-modular/2623-554700-mobilier-de-bucatarie-pentru-cuptor-si-aragaz-blat-stejar.html,yes
PS512,High kitchen furniture 2 doors for oven,Kitchen,76x65x220,E-PS512,https://studioszel.ro/mobilier-de-bucatarie-modular/34797-565754-mobilier-de-bucatarie-2-usi-pentru-cuptor.html,yes
PS513,Kitchen side table 3 drawers 1 shelf,Drawers unit,120x35x89,E-PS513,https://studioszel.ro/console/34809-565900-consola-cu-3-sertare-si-1-polita.html,yes
PS513-TOP OAK,Kitchen side table 3 drawers 1 shelf oak top,Drawers unit,120x35x89,E-PS513-TOP OAK,https://studioszel.ro/console/34810-565913-consola-cu-3-sertare-si-1-polita-blat-stejar.html,yes
PS514,Kitchen side table 2 drawers 1 shelf,Drawers unit,85x35x89,E-PS514,https://studioszel.ro/console/34811-565936-consola-cu-2-sertare-1-polita.html,yes
PS514-TOP OAK,Kitchen side table 2 drawers 1 shelf oak top,Drawers unit,85x35x89,PS514-TOP OAK,https://studioszel.ro/console/2627-560077-consola-cu-2-sertare-1-polita-blat-stejar.html,yes
PS515,Display cabinet open shelves 1 drawer,Display cabinet,51x39x197,E-PS515,https://studioszel.ro/bufete-si-vitrine-pentru-servire/34820-566021-raft-cu-1-sertar-3-polite.html,yes
PS524-160/200,Extendible oval table 160/220,Table,160x120x78,E-PS524-160/200,https://studioszel.ro/essenza/35333-576542-masa-ovala-extensibila-160-200cm.html,yes
PS524-180/220,Extendible oval table 180/220,Table,180x120x78,E-PS524-180/220,https://studioszel.ro/essenza/35335-576573-masa-ovala-extensibila-180-220cm.html,yes
PS524-210/250,Extendible oval table 210/250,Table,210x120x78,E-PS524-210/250,https://studioszel.ro/essenza/35337-576599-masa-ovala-extensibila-210-250cm.html,yes
PS525,Hanging Cupboard for Kitchen(Corner),Kitchen,98x98x65,PS525,https://studioszel.ro/mobilier-de-bucatarie-modular/4313-559608-dulap-bucatarie-suspendabil-pentru-colt.html,yes
PS528,Country kitchen 2 glass + 2 panel doors,Kitchen,100x50x180,E-PS528,https://studioszel.ro/bufete-si-vitrine-pentru-servire/34801-565799-dulap-de-bucatarie-cu-vitrina-si-2-usi-panou-in-stil-rustic.html,yes
PS532,"Slim coffee table 2 drawers with glass, pine top",Drawers unit,120x65x48,E-PS532,https://studioszel.ro/masute-de-cafea/34979-567882-masa-cafea-patrata-cu-sticla.html,yes
PS533,TV stand 2 door + 4 open space shelves,TV stand,129x50x70,PS533,https://studioszel.ro/mese-tv-si-mobilier-media/4321-562631-comoda-tv-cu-2-usi-si-4-spatii-deschise.html,yes
PS534,Small hallway coat hanger + 1 door,Hallway,80x40x210,E-PS534,https://studioszel.ro/cuiere/34805-565852-cuier-cu-1-usa.html,yes
PS535,Big hallway coat hanger + 2 doors,Hallway,140x40x210,E-PS535,https://studioszel.ro/cuiere/34803-565826-cuier-cu-2-usi.html,yes
PS536BAS,Hallway coat hanger + shoe cabinet 2 doors bas,Hallway,95x41x44,PS536BAS,https://studioszel.ro/dulapuri-pentru-pantofi/4324-577913-baza-cuier-cu-2-usi-bas.html,yes
PS536BAS/SUP,Hallway coat hanger + shoe cabinet 2 doors bas/sup,Hallway,101x41x210,PS536BAS+SUP,https://studioszel.ro/cuiere/10403-577926-cuier-cu-2-usi-bas-2-sertare-sup.html,yes
PS537,Hallway coat hanger with 2 open shelves,Shelving,80x41x210,E-PS537,https://studioszel.ro/cuiere/34782-565367-cuier-cu-spatiu-deschis.html,yes
PS537-TOP OAK,"Hallway coat hanger with 2 open shelves, oak top",Shelving,80x41x210,E-PS537-TOP OAK,https://studioszel.ro/cuiere/34784-565389-cuier-cu-spatii-deschise-blat-stejar.html,yes
PS538BAS,Small Hallway furniture bas,Hallway,74x40x50,PS538BAS,https://studioszel.ro/dulapuri-pentru-pantofi/4326-559138-baza-cuier-ornamentat-1-usa-bas.html,yes
PS538BAS/SUP,Small Hallway furniture bas/sup,Hallway,80x40x106,PS538BAS+SUP,https://studioszel.ro/cuiere/10394-577780-cuier-ornamentat-cu-1-usa-bas-sup.html,yes
PS539,"Hallway coat hanger with mirror, 2 drawers, 1 cabinet",Drawers unit,121x41x210,E-PS539,https://studioszel.ro/cuiere/34787-565552-cuier-ornamentat-cu-oglinda-1-usa-2-sertare.html,yes
PS540,"Curved leg Multicolor Chest, 7 drawers",Chest of drawers,80x48x82,E-PS540,https://studioszel.ro/console/35105-572116-consola-cu-picioare-curbate-si-7-sertare.html,yes
PS543,"Bathroom ornamental cabinet 3 drawers 1 door, pine top",Drawers unit,103x51x91,E-PS543,https://studioszel.ro/masti-pentru-lavoar/35205-574184-dulap-baie-ornamentat-pentru-lavoar-cu-3-sertare-si-1-usa-lavoarul-nu-este-inclus-in-pret.html,yes
PS543-TOP OAK,"Bathroom ornamental cabinet 3 drawers 1 door, oak top",Drawers unit,103x51x91,E-PS543-TOP OAK,https://studioszel.ro/masti-pentru-lavoar/35217-574308-dulap-baie-ornamentat-pentru-lavoar-cu-3-sertare-si-1-usa-blat-stejar-lavoarul-nu-este-inclus-in-pret.html,yes
PS546,"Small Bathroom item with turned legs, pine top",Bathroom,90x54x90,PS546,https://studioszel.ro/masti-pentru-lavoar/4335-581509-dulap-baie-pentru-lavoar-cu-picioare-strunjite-lavoarul-nu-este-inclus-in-pret.html,yes
PS546-TOP OAK,"Small Bathroom item with turned legs, oak top",Bathroom,90x54x90,PS546-TOP OAK,https://studioszel.ro/masti-pentru-lavoar/4774-557177-dulap-baie-pentru-lavoar-cu-picioare-strunjite-blat-stejar-lavoarul-nu-este-inclus-in-pret.html,yes
PS553BAS,"Showcase arched cornice 2 doors bas, pine top",Other,101x38x75,E-PS553BAS,https://studioszel.ro/biblioteci-si-vitrine/35077-571451-bufet-cu-2-usi-bas.html,yes
PS553BAS/SUP,Showcase arched cornice 2 doors bas/sup,Other,105x40x220,PS553BAS+SUP,https://studioszel.ro/biblioteci-si-vitrine/10404-556497-vitrina-cu-2-usi-bas-2-usi-sticla-cornisa-arcuita-sup.html,yes
PS554,Bonheur Du Jour 2 small 1 big drawers,Drawers unit,65x40x103,E-PS554,https://studioszel.ro/birou/35039-569053-birou-bonheur-du-jour-cu-3-sertare.html,yes
PS569,"Sideboard 2 door + 3 drawers Shutter Collection, pine top",Sideboard,158x37x90,E-PS569,https://studioszel.ro/comode/35135-572687-bufet-cu-2-usi-si-3-sertare-colectia-shutter.html,yes
PS569-TOP OAK,"Sideboard 2 door + 3 drawers Shutter Collection, oak top",Sideboard,158x37x90,PS569-TOP OAK,https://studioszel.ro/comode/4784-583601-bufet-cu-2-usi-3-sertare-blat-stejar-colectia-shutter.html,yes
PS571,"TV Sideboard Shutter Collection, pine top",Sideboard,160x46x56,E-PS571,https://studioszel.ro/mese-tv-si-mobilier-media/35013-568668-comoda-tv-colectia-shutter.html,yes
PS572,"Chest with 2 doors and 1 drawer Shutter Collection, pine top",Chest of drawers,85x37x120,E-PS572,https://studioszel.ro/dulapuri-pentru-pantofi/34956-567517-comoda-cu-2-usi-si-1-sertar-colectia-shutter.html,yes
PS573,Big display cabinet Shutter Collection,Display cabinet,110x39x210,E-PS573,https://studioszel.ro/biblioteci-si-vitrine/35071-571372-vitrina-cu-2-usi-2-usi-sticla-colectia-shutter.html,yes
PS574,Small display cabinet Shutter Collection,Display cabinet,64x39x210,E-PS574,https://studioszel.ro/biblioteci-si-vitrine/35070-584318-vitrina-ingusta-1-usa-1-usa-sticla-colectia-shutter.html,yes
PS577,Basic counter 2 drawers,Drawers unit,120x51x107,E-PS577,https://studioszel.ro/tejghea/35271-575379-bar-cu-2-sertare-2-compartimente-deschise.html,yes
PS577-TOP OAK,"Basic counter 2 drawers, oak top",Drawers unit,120x51x107,PS577-TOP OAK,https://studioszel.ro/tejghea/8949-569464-bar-cu-2-sertare-2-compartimente-deschise-blat-stejar.html,yes
PS578,Basic counter 4 drawers,Drawers unit,180x51x107,PS578,https://studioszel.ro/tejghea/8266-583141-bar-cu-4-sertare-4-compartimente-deschise.html,yes
PS578-TOP OAK,"Basic counter 4 drawers, oak top",Drawers unit,180x51x107,PS578-TOP OAK,https://studioszel.ro/tejghea/8951-581627-bar-cu-4-sertare-4-compartimente-deschise-blat-stejar.html,yes
PS579,Wine rack 1 door,Other,90x41x90,E-PS579,https://studioszel.ro/dulap-bar/35276-575457-mobilier-mic-pentru-bar-cu-suport-sticle.html,yes
PS580,Curved leg 3+2 drawer writing desk,Drawers unit,130x60x103,E-PS580,https://studioszel.ro/birou/35040-569071-birou-cu-picioare-curbate.html,yes
PS595BAS,Glass cabinet 2 sliding doors BAS,Other,106x47x86,E-PS595BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35334-576561-bufet-cu-2-usi-sticla-glisante-bas.html,yes
PS595BAS/SUP,Glass cabinet 2 sliding doors BAS+SUP,Other,110x47x220,E-PS595BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35336-576594-vitrina-cu-2-usi-sticla-glisante-bas-2-usi-mari-sticla-glisante-sup.html,yes
PS596BAS,Glass cabinet 3 sliding doors BAS,Other,147x47x86,E-PS596BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35479-584328-bufet-cu-3-usi-sticla-glisante-bas.html,yes
PS596BAS-TOP OAK,"Glass cabinet 3 sliding doors BAS, top oak",Other,147x47x86,PS596BAS-TOP OAK,https://studioszel.ro/bufete-si-vitrine-pentru-servire/8963-576900-bufet-cu-3-usi-stica-glisante-blat-stejar-bas.html,yes
PS596BAS/SUP,Glass cabinet 3 sliding doors BAS+SUP,Other,151x47x220,E-PS596BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35345-576720-vitrina-bucatarie-cu-3-usi-sticla-glisante-bas-3-usi-sticla-glisante-sup.html,yes
PS597BAS,Cabinet 2 sliding panel doors BAS,Other,135x48x78,E-PS597BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35343-576672-bufet-cu-2-usi-glisante.html,yes
