Code,Designation,Type,Standard_WxDxH_cm,Site_Reference,Product_URL,On_Site
PS683-TOP Z,"Double square sink kitchen module, zinc top",Kitchen,180x65x90,,,no
PS685-TOP OAK,"Spice rack module, including rectractable basket, oak top",Table,45x65x90,,,no
PS685-TOP Z,"Spice rack module, including rectractable basket, zinc top",Table,45x65x90,,,no
PS687,TV/DVD sideboard,Sideboard,100x53x71,,,no
PS687-TOP OAK,"TV/DVD sideboard, oak top",Sideboard,100x53x71,,,no
PS689BAS,"PS481BAS glass doors, without drawers",Drawers unit,180x48x93,,,no
PS689BAS-TOP OAK,"PS481BAS glass doors, without drawers, oak top",Drawers unit,180x48x93,,,no
PS689BAS/PS481SUP,"PS481BAS glass doors, without drawers+display cabinet 2 doors and open shelves",Display cabinet,184x48x228,,,no
PS691-140X126,"Shutter style headboard, 140",Other,140x10x126,,,no
PS691-160X126,"Shutter style headboard, 160",Other,160x10x126,,,no
PS699BAS-TOP OAK,"Bar furniture with support for glasses and bottle holder BAS, top OAK",Bar,236x48x90,,,no
PS699SUP,Bar furniture with support for glasses and bottle holder SUP,Bar,240x50x120,,,no
PS700,Kitchen module for built-in refrigerator with 1 door,Kitchen,80x65x200,,,no
PS702-TOP OAK,"Kitchen module with 3 drawers and cutlery holder, with metal rails, top OAK",Drawers unit,110x65x90,,,no
PS704-TOP OAK,"SLIM built-in dishwasher kitchen module, top OAK",Kitchen,65x65x90,,,no
PS707,"Wall console with turned legs, two shelves and three drawers",Drawers unit,145x45x89,,,no
PS707-TOP OAK,"Wall console with turned legs, two shelves and three drawers, top oak",Drawers unit,145x45x89,,,no
PS712-TOP OAK,"Bathroom furniture with curved legs, two doors and three drawers, top oak",Drawers unit,150x54x74,,,no
PS714-TOP OAK,"Oval table with turned central leg, top oak",Table,160x130x78,,,no
PS716-TOP OAK,"Bathroom cabinet with ornate foot for 1 vessel sink, top oak",Bathroom,90x51x74,,,no
PS726SUP,"Showcase 2  panel doors, central open space with shelves, SUP",Shelving,223x48x150,,,no
PS727BAS-TOP OAK,"Sideboard, 3 sliding panel doors, 3 drawers, BAS  , top oak",Sideboard,176x51x85,,,no
PS727SUP,"Showcase, 3 sliding doors, SUP",Other,180x48x135,,,no
PS728-TOP OAK,"Chic bathroom furniture for vessel sink with 4 doors and 2 drawers, top oak",Drawers unit,140x57x75,,,no
PS729-TOP OAK,"Chic bathroom furniture for vessel sink with 2 doors and 3  drawers, top oak",Drawers unit,158x54x75,,,no
PS731SUP,"Large bookcase with ornaments, open space with 8 shelves, SUP",Shelving,204x42x150,,,no
PS809,Oval dining table,Table,,,,no
CODE,Designation,Other,,,,no
OPS295BAS,"Sideboard 6 drawers 2 doors, oak",Sideboard,,,,no
OPS4001,"Bathroom cupboard 2 wash basins -without sink, solid oak",Bathroom,150x51x91,,,no
OPS4003,"Bathroom cupboard 1 wash basin, oak, without top",Bathroom,,,,no
OPS787-180,Oak countertop with dimensions 180x100x10,Other,,,,no
OPS787-210,Oak countertop with dimensions 210x100x10,Other,,,,no
OPS787-240,Oak countertop with dimensions 240x100x10,Other,,,,no
OPS798SUP,"Elegant Display Cabinet with 2 Glass Doors, Oak",Display cabinet,129x47x140,,,no
OPS799SUP,"Elegant Display Cabinet with 3 Glass Doors, Oak",Display cabinet,185x49x140,,,no
MPS004SUP,Bookcase,Other,200x40x150,,,no
MPS006SUP,Bookcase,Other,100x40x150,,,no
MPS014SUP,Cabinet 3 sliding door,Other,180x51x132,,,no
MPS016SUP,Cabinet 2 sliding doors,Other,128x51x132,,,no
MPS019SUP,Cabinet 2 sliding doors,Other,150x48x130,,,no
MPS020SUP,Bookcase with 4 doors,Other,230x39x135,,,no
