code,slug,variant,finish-description,body-colour,accent-colours,top-material,dimensions-cm,accessories,source-file,path
PS236-160x200,PS236-160X200,main,,,,,,,PS236-160x200.jpg,images/PS236-160X200/main.jpg
PS248-TOP Z,PS248-TOP-Z,main,,,,,,,PS248-TOP Z.jpg,images/PS248-TOP-Z/main.jpg
PS251,PS251,main,,,,,,,PS251.jpg,images/PS251/main.jpg
PS25BAS,PS25BAS,main,,,,,,,PS25BAS.jpg,images/PS25BAS/main.jpg
PS265BAS,PS265BAS,main,,,,,,,PS265BAS.jpg,images/PS265BAS/main.jpg
PS265BAS-TOP OAK,PS265BAS-TOP-OAK,main,,,,,,,PS265BAS-TOP OAK.jpg,images/PS265BAS-TOP-OAK/main.jpg
PS271BAS-TOP OAK,PS271BAS-TOP-OAK,main,,,,,,,PS271BAS-TOP OAK.jpg,images/PS271BAS-TOP-OAK/main.jpg
PS27BAS-TOP OAK,PS27BAS-TOP-OAK,main,,,,,,,PS27BAS-TOP OAK.jpg,images/PS27BAS-TOP-OAK/main.jpg
PS287,PS287,main,,,,,,,PS287.jpg,images/PS287/main.jpg
PS29-TOP OAK,PS29-TOP-OAK,main,,,,,,,PS29-TOP OAK.jpg,images/PS29-TOP-OAK/main.jpg
PS291,PS291,main,,,,,,,PS291.jpg,images/PS291/main.jpg
PS294SUP,PS294SUP,main,,,,,,,PS294SUP.jpg,images/PS294SUP/main.jpg
PS295BAS-PS294SUP,PS295BAS-PS294SUP,main,,,,,,,PS295BAS-PS294SUP.jpg,images/PS295BAS-PS294SUP/main.jpg
PS321BAS,PS321BAS,main,,,,,,,PS321BAS.jpg,images/PS321BAS/main.jpg
PS357-TOP OAK,PS357-TOP-OAK,main,,,,,,,PS357-TOP OAK.jpg,images/PS357-TOP-OAK/main.jpg
PS358,PS358,main,,,,,,,PS358.jpg,images/PS358/main.jpg
PS359,PS359,main,,,,,,,PS359.jpg,images/PS359/main.jpg
PS360-TOP OAK,PS360-TOP-OAK,main,,,,,,,PS360-TOP OAK.jpg,images/PS360-TOP-OAK/main.jpg
PS363,PS363,main,,,,,,,PS363.jpg,images/PS363/main.jpg
PS364,PS364,main,,,,,,,PS364.jpg,images/PS364/main.jpg
PS371-TOP OAK,PS371-TOP-OAK,main,,,,,,,PS371-TOP OAK.jpg,images/PS371-TOP-OAK/main.jpg
PS371-TOP Z,PS371-TOP-Z,main,,,,,,,PS371-TOP Z.jpg,images/PS371-TOP-Z/main.jpg
PS372-TOP OAK,PS372-TOP-OAK,main,,,,,,,PS372-TOP OAK.jpg,images/PS372-TOP-OAK/main.jpg
PS373-TOP Z,PS373-TOP-Z,main,,,,,,,PS373-TOP Z.jpg,images/PS373-TOP-Z/main.jpg
